State/Variety MY 09/10 MY 10/11 MY 11/12,MY 12/13,MY 13/14
Minas Gerais 22.10  28.50  23.50,28.50,26.80
Southwest 12.10  16.00  11.50,15.20,13.50
Central-western 4.20  5.50  4.50,6.10,5.00
Southeast 5.80  7.00  7.50,7.20,8.30
Espirito Santo 10.60  11.50  13.50,14.80,15.60
Arabica 2.40  3.10  2.70,3.00,3.30
Robusta 8.20  8.40  10.80,11.80,12.30
Sao Paulo 4.20  5.00  4.10,5.40,4.70
Parana 1.90  2.40  1.90,1.80,1.90
Others 6.00  7.10  6.20,5.60,4.70
Arabica 2.40  2.80  2.50,2.40,1.80
Robusta 3.60  4.30  3.70,3.20,2.90
Total 44.80  54.50  49.20,56.10,53.70
Arabica 33.00  41.80  34.70,41.10,38.50
Robusta 11.80  12.70  14.50,15.00,15.20
Source: ATO/Sao Paulo.,,
