country,subdivision,type,million_60kgs_bag,year,nonbear_mill_trees,bear_mill_trees,nonbear_thous_hect,bear_thous_hect,trees_hect_bear,trees_hect_nonbear,max_et,median_et,mean_et,temp_c,rel_humid,wind_speed,avg_unemp_perc
Brazil,Sao Paulo,Arabica,4.3,2016,1125,5735,340,2070,2771,3309,2276.9,972.525,1013.338095,22.09407228,71.3891644,5.492840416,12.45
Brazil,Parana,Arabica,1.2,2016,1125,5735,340,2070,2771,3309,2109.4,1029.35,1033.123956,20.28855676,75.66432461,5.916193018,8.3
Brazil,Minas Gerais,Arabica,32.5,2017,1300,5640,380,2020,2792,3421,2335.4,1108.2,1115.665079,22.35591251,64.18018484,6.318025279,12.25
Brazil,Espirito Santo,Arabica,3.8,2017,1300,5640,380,2020,2792,3421,2475,1255.3,1279.215833,24.38542381,78.95009253,7.531985378,13.275
Brazil,Espirito Santo,Robusta,6.7,2017,1300,5640,380,2020,2792,3421,2475,1255.3,1279.215833,24.38542381,78.95009253,7.531985378,13.275
Brazil,Sao Paulo,Arabica,5.9,2017,1300,5640,380,2020,2792,3421,2269.6,993.8,1036.419371,22.33573665,70.15637561,5.569773539,13.525
Brazil,Parana,Arabica,1.1,2017,1300,5640,380,2020,2792,3421,2215.9,1056.9,1083.031795,20.9908324,75.98997302,6.216850986,9.05
Brazil,Minas Gerais,Arabica,28.3,2018,,,,,,,2355.1,1083.9,1077.526605,22.55255507,66.25518393,5.787471039,10.775
Brazil,Espirito Santo,Arabica,3.3,2018,,,,,,,2394.6,1171,1209.289174,24.7294131,82.21890743,7.113442995,11.675
Brazil,Espirito Santo,Robusta,7.3,2018,,,,,,,2394.6,1171,1209.289174,24.7294131,82.21890743,7.113442995,11.675
Brazil,Sao Paulo,Arabica,4.3,2018,,,,,,,2227.8,980.45,1030.652842,22.34195666,71.19166515,5.361210213,13.45
Brazil,Parana,Arabica,1.3,2018,,,,,,,2249.8,1057.8,1040.506552,20.83764319,76.56577889,5.830068582,8.85
Brazil,Minas Gerais,Arabica,34.2,2019,1150,5740,335,2060,2786,3433,2387,1093.5,1118.63252,23.03465139,64.00891586,5.92062996,10.1
Brazil,Espirito Santo,Arabica,4.7,2019,1150,5740,335,2060,2786,3433,2623.2,1277,1284.407602,25.05167003,79.1107613,7.346881648,11.1
Brazil,Espirito Santo,Robusta,10.9,2019,1150,5740,335,2060,2786,3433,2623.2,1277,1284.407602,25.05167003,79.1107613,7.346881648,11.1
Brazil,Sao Paulo,Arabica,6.5,2019,1150,5740,335,2060,2786,3433,2305.2,893.35,950.2784064,22.72380747,70.75697143,5.443597587,12.55
Brazil,Parana,Arabica,1.2,2019,1150,5740,335,2060,2786,3433,2303.9,1004,1014.063541,21.57220767,74.81766138,6.159388236,8.65
Brazil,Minas Gerais,Arabica,29.1,2020,1230,5700,350,2040,2794,3514,,,,22.42353007,66.91093505,5.752527231,12.75
Brazil,Espirito Santo,Arabica,3.9,2020,1230,5700,350,2040,2794,3514,2271.6,1174.5,1180.802281,,,,12.875
Brazil,Espirito Santo,Robusta,12.9,2020,1230,5700,350,2040,2794,3514,2271.6,1174.5,1180.802281,,,,12.875
Brazil,Sao Paulo,Arabica,5.4,2020,1230,5700,350,2040,2794,3514,,,,22.53581267,67.58218699,5.753568624,14.1
Brazil,Parana,Arabica,1.1,2020,1230,5700,350,2040,2794,3514,2113.3,946.5,947.061831,21.60961553,72.75499089,6.136498141,9.55
Brazil,Minas Gerais,Arabica,34.8,2021,1050,6200,320,2100,2952,3281,,,,22.24952187,64.40885618,5.486919464,11.65
Brazil,Espirito Santo,Arabica,4.8,2021,1050,6200,320,2100,2952,3281,,,,,,,11.125
Brazil,Espirito Santo,Robusta,14.3,2021,1050,6200,320,2100,2952,3281,,,,,,,11.125
Brazil,Sao Paulo,Arabica,6.4,2021,1050,6200,320,2100,2952,3281,,,,22.12303839,66.87102322,5.772852275,13.425
Brazil,Parana,Arabica,1.1,2021,1050,6200,320,2100,2952,3281,,,,20.83865569,73.34315223,5.88002984,8.35
Brazil,Minas Gerais,Arabica,24.5,2022,1500,6010,470,2010,2990,3191,,,,22.05863713,66.07841339,5.549788385,7.15
Brazil,Espirito Santo,Arabica,3.7,2022,1500,6010,470,2010,2990,3191,,,,,,,7.925
Brazil,Espirito Santo,Robusta,15.7,2022,1500,6010,470,2010,2990,3191,,,,,,,7.925
Brazil,Sao Paulo,Arabica,4.6,2022,1500,6010,470,2010,2990,3191,,,,21.90416863,70.201402,5.962466488,9.075
Brazil,Parana,Arabica,1,2022,1500,6010,470,2010,2990,3191,,,,20.36254644,76.19359123,6.325392974,5.825
Brazil,Minas Gerais,Arabica,28.5,2023,1510,6100,475,2020,3020,3179,,,,,,,
Brazil,Espirito Santo,Arabica,4.4,2023,1510,6100,475,2020,3020,3179,,,,,,,
Brazil,Espirito Santo,Robusta,16.6,2023,1510,6100,475,2020,3020,3179,,,,,,,
Brazil,Sao Paulo,Arabica,5.1,2023,1510,6100,475,2020,3020,3179,,,,,,,
Brazil,Parana,Arabica,0.8,2023,1510,6100,475,2020,3020,3179,,,,,,,
